Name,FIPS,"% Language Spoken at Home | French, Haitian, or Cajun, 2021 [Estimated]"
"Deuel County, NE",31049,0
"Deuel County, SD",46039,0.1997
"Dewey County, OK",40043,0.1302
"Dewey County, SD",46041,0
"Dickens County, TX",48125,0
"Dickenson County, VA",51051,0.0582
"Dickey County, ND",38021,0
"Dickinson County, IA",19059,0.1826
"Dickinson County, KS",20041,0.0345
"Dickinson County, MI",26043,0.1717
"Dickson County, TN",47043,0.0675
"Dillingham Census Area, AK",02070,0.2215
"Dillon County, SC",45033,0.0177
"Dimmit County, TX",48127,0
"Dinwiddie County, VA",51053,0.1992
"District of Columbia, DC",11001,1.4808
"Divide County, ND",38023,0
"Dixie County, FL",12029,0.0062
"Dixon County, NE",31051,0
"Doddridge County, WV",54017,0.295
"Dodge County, GA",13091,0.1117
"Dodge County, MN",27039,0.0051
"Dodge County, NE",31053,0.0264
"Dodge County, WI",55027,0.1453
"Dolores County, CO",08033,0
"Doniphan County, KS",20043,0.0413
"Donley County, TX",48129,0.1308
"Dooly County, GA",13093,0.0154
"Door County, WI",55029,0.491
"Dorado Municipio, PR",72051,0
"Dorchester County, MD",24019,0.0562
"Dorchester County, SC",45035,0.1642
"Dougherty County, GA",13095,0.1148
"Douglas County, CO",08035,0.4074
"Douglas County, GA",13097,1.3025
"Douglas County, IL",17041,0.0055
"Douglas County, KS",20045,0.3925
"Douglas County, MN",27041,0.0701
"Douglas County, MO",29067,0
"Douglas County, NE",31055,0.4765
"Douglas County, NV",32005,0.4385
"Douglas County, OR",41019,0.1642
"Douglas County, SD",46043,0
"Douglas County, WA",53017,0.5165
"Douglas County, WI",55031,0.3242
"Doña Ana County, NM",35013,0.1369
"Drew County, AR",05043,0.0816
"DuPage County, IL",17043,0.3013
"Dubois County, IN",18037,0.0025
"Dubuque County, IA",19061,0.3011
"Duchesne County, UT",49013,0.0108
"Dukes County, MA",25007,0.9373
"Dundy County, NE",31057,0
"Dunklin County, MO",29069,0.1686
"Dunn County, ND",38025,0.356
"Dunn County, WI",55033,0.1481
"Duplin County, NC",37061,0.4433
"Durham County, NC",37063,0.68
"Dutchess County, NY",36027,0.5212
"Duval County, FL",12031,0.8184
"Duval County, TX",48131,0.0777
"Dyer County, TN",47045,0.1889
"Eagle County, CO",08037,0.3813
"Early County, GA",13099,0
"East Baton Rouge Parish, LA",22033,0.775
"East Carroll Parish, LA",22035,0.5507
"East Feliciana Parish, LA",22037,1.375
"Eastland County, TX",48133,0.3535
"Eaton County, MI",26045,0.5524
"Eau Claire County, WI",55035,0.0962
"Echols County, GA",13101,0
"Ector County, TX",48135,0.0219
"Eddy County, ND",38027,0
"Eddy County, NM",35015,0.0569
"Edgar County, IL",17045,0.0738
"Edgecombe County, NC",37065,0.068
"Edgefield County, SC",45037,0.0114
"Edmonson County, KY",21061,0.0516
"Edmunds County, SD",46045,0.1119
"Edwards County, IL",17047,0.0998
"Edwards County, KS",20047,0
"Edwards County, TX",48137,0
"Effingham County, GA",13103,0.0545
"Effingham County, IL",17049,0.1451
"El Dorado County, CA",06017,0.3374
"El Paso County, CO",08041,0.3588
"El Paso County, TX",48141,0.1468
"Elbert County, CO",08039,0.0553
"Elbert County, GA",13105,0.2238
"Elk County, KS",20049,0
"Elk County, PA",42047,0.202
"Elkhart County, IN",18039,0.1214
"Elko County, NV",32007,0.0754
"Elliott County, KY",21063,0
"Ellis County, KS",20051,0.0481
"Ellis County, OK",40045,0.1336
"Ellis County, TX",48139,0.0975
"Ellsworth County, KS",20053,0.086
"Elmore County, AL",01051,0.1447
"Elmore County, ID",16039,0.1327
"Emanuel County, GA",13107,0.1876
"Emery County, UT",49015,0.0324
"Emmet County, IA",19063,0.3333
"Emmet County, MI",26047,0.1525
"Emmons County, ND",38029,0
"Emporia city, VA",51595,0.1197
"Erath County, TX",48143,0.0248
"Erie County, NY",36029,0.4881
"Erie County, OH",39043,0.1269
"Erie County, PA",42049,0.2692
"Escambia County, AL",01053,0.0288
"Escambia County, FL",12033,0.5631
"Esmeralda County, NV",32009,0
"Essex County, MA",25009,1.2944
"Essex County, NJ",34013,4.5932
"Essex County, NY",36031,0.6007
"Essex County, VA",51057,0
"Essex County, VT",50009,4.9597
"Estill County, KY",21065,0
"Etowah County, AL",01055,0.4196
"Eureka County, NV",32011,0
"Evangeline Parish, LA",22039,14.1246
"Evans County, GA",13109,0
"Fairbanks North Star Borough, AK",02090,0.2893
"Fairfax County, VA",51059,0.8974
"Fairfax city, VA",51600,1.4919
"Fairfield County, CT",09001,2.1479
"Fairfield County, OH",39045,0.2364
"Fairfield County, SC",45039,0.1808
"Fajardo Municipio, PR",72053,0
"Fall River County, SD",46047,0.6755
"Fallon County, MT",30025,0
"Falls Church city, VA",51610,1.074
"Falls County, TX",48145,0.1484
"Fannin County, GA",13111,0.0238
"Fannin County, TX",48147,0.229
"Faribault County, MN",27043,0.0945
"Faulk County, SD",46049,0
"Faulkner County, AR",05045,0.3391
"Fauquier County, VA",51061,0.2983
"Fayette County, AL",01057,0
"Fayette County, GA",13113,1.0434
"Fayette County, IA",19065,0.049
"Fayette County, IL",17051,0.0943
"Fayette County, IN",18041,0.106
"Fayette County, KY",21067,0.817
"Fayette County, OH",39047,0.0373
"Fayette County, PA",42051,0.2914
"Fayette County, TN",47047,0.1468
"Fayette County, TX",48149,0.2121
"Fayette County, WV",54019,0.1193
"Fentress County, TN",47049,0.0876
"Fergus County, MT",30027,0.3274
"Ferry County, WA",53019,0.5123
"Fillmore County, MN",27045,0.0868
"Fillmore County, NE",31059,0
"Finney County, KS",20055,0.9364
"Fisher County, TX",48151,0.028
"Flagler County, FL",12035,0.8159
"Flathead County, MT",30029,0.2253
"Fleming County, KY",21069,0.0674
"Florence County, SC",45041,0.2905
"Florence County, WI",55037,0.198
"Florida Municipio, PR",72054,0
"Floyd County, GA",13115,0.1118
"Floyd County, IA",19067,0
"Floyd County, IN",18043,0.1186
"Floyd County, KY",21071,0
"Floyd County, TX",48153,0
"Floyd County, VA",51063,0.1392
"Fluvanna County, VA",51065,0.7335
"Foard County, TX",48155,0
"Fond du Lac County, WI",55039,0.1018
"Ford County, IL",17053,0.0817
"Ford County, KS",20057,0.0513
"Forest County, PA",42053,0.4457
"Forest County, WI",55041,0.0599
"Forrest County, MS",28035,0.2676
"Forsyth County, GA",13117,0.3997
"Forsyth County, NC",37067,0.3436
"Fort Bend County, TX",48157,0.4101
"Foster County, ND",38031,0
"Fountain County, IN",18045,0.2874
"Franklin County, AL",01059,0.0787
"Franklin County, AR",05047,0.2288
"Franklin County, FL",12037,0.2555
"Franklin County, GA",13119,0.1852
"Franklin County, IA",19069,0
"Franklin County, ID",16041,0
"Franklin County, IL",17055,0
"Franklin County, IN",18047,0.3038
"Franklin County, KS",20059,0.0541
"Franklin County, KY",21073,0.1045
"Franklin County, MA",25011,0.5707
"Franklin County, ME",23007,0.8464
"Franklin County, MO",29071,0.1249
"Franklin County, MS",28037,0
"Franklin County, NC",37069,0.0513
"Franklin County, NE",31061,0
"Franklin County, NY",36033,1.4898
"Franklin County, OH",39049,0.6459
"Franklin County, PA",42055,0.3804
"Franklin County, TN",47051,0
"Franklin County, TX",48159,0.2154
"Franklin County, VA",51067,0.0859
"Franklin County, VT",50011,1.6179
"Franklin County, WA",53021,0.2179
"Franklin Parish, LA",22041,0.0909
"Franklin city, VA",51620,0
"Frederick County, MD",24021,1.3213
"Frederick County, VA",51069,0.22
"Fredericksburg city, VA",51630,0.3995
"Freeborn County, MN",27047,0.0631
"Freestone County, TX",48161,0.0536
"Fremont County, CO",08043,0.1075
"Fremont County, IA",19071,0.5561
"Fremont County, ID",16043,0
"Fremont County, WY",56013,0.2968
"Fresno County, CA",06019,0.1735
"Frio County, TX",48163,0.5451
"Frontier County, NE",31063,0
"Fulton County, AR",05049,0
"Fulton County, GA",13121,0.7443
"Fulton County, IL",17057,0.1459
"Fulton County, IN",18049,0.3356
"Fulton County, KY",21075,0.0893
"Fulton County, NY",36035,0.3153
"Fulton County, OH",39051,0.1562
"Fulton County, PA",42057,0.3641
"Furnas County, NE",31065,0
"Gadsden County, FL",12039,0.3687
"Gage County, NE",31067,0.0447
"Gaines County, TX",48165,0
"Galax city, VA",51640,0
"Gallatin County, IL",17059,0
"Gallatin County, KY",21077,0
"Gallatin County, MT",30031,0.306
"Gallia County, OH",39053,0
"Galveston County, TX",48167,0.2638
"Garden County, NE",31069,0.2208
"Garfield County, CO",08045,0.2065
"Garfield County, MT",30033,0
"Garfield County, NE",31071,0.9322
"Garfield County, OK",40047,0.1201
"Garfield County, UT",49017,0.2567
"Garfield County, WA",53023,0
"Garland County, AR",05051,0.1092
"Garrard County, KY",21079,0.162
"Garrett County, MD",24023,0.0799
"Garvin County, OK",40049,0.0305
"Garza County, TX",48169,0
"Gasconade County, MO",29073,0.383
"Gaston County, NC",37071,0.1865
"Gates County, NC",37073,0.4236
"Geary County, KS",20061,0.5133
"Geauga County, OH",39055,0.0506
"Gem County, ID",16045,0
"Genesee County, MI",26049,0.1239
"Genesee County, NY",36037,0.1055
"Geneva County, AL",01061,0.0242
"Gentry County, MO",29075,0
"George County, MS",28039,0.0311
"Georgetown County, SC",45043,0.2442
"Gibson County, IN",18051,1.1028
"Gibson County, TN",47053,0.0479
"Gila County, AZ",04007,0.2484
"Gilchrist County, FL",12041,0
"Giles County, TN",47055,0.0397
"Giles County, VA",51071,0.0757
"Gillespie County, TX",48171,0.078
"Gilliam County, OR",41021,0
"Gilmer County, GA",13123,0.0675
"Gilmer County, WV",54021,0.2865
"Gilpin County, CO",08047,0.6778
"Glacier County, MT",30035,0
"Glades County, FL",12043,0.9027
"Gladwin County, MI",26051,0
"Glascock County, GA",13125,0.0705
"Glasscock County, TX",48173,0
"Glenn County, CA",06021,0.0116
"Gloucester County, NJ",34015,0.6691
"Gloucester County, VA",51073,0.4544
"Glynn County, GA",13127,0.4611
"Gogebic County, MI",26053,0.098
"Golden Valley County, MT",30037,0
"Golden Valley County, ND",38033,0
"Goliad County, TX",48175,0
"Gonzales County, TX",48177,0
"Goochland County, VA",51075,0.3905
"Goodhue County, MN",27049,0.0873
"Gooding County, ID",16047,0
"Gordon County, GA",13129,0.0018
"Goshen County, WY",56015,0.2736
"Gosper County, NE",31073,0
"Gove County, KS",20063,0
"Grady County, GA",13131,0.2575
"Grady County, OK",40051,0.0095
"Grafton County, NH",33009,1.1717
"Graham County, AZ",04009,0.3115
"Graham County, KS",20065,0.0839
"Graham County, NC",37075,0
"Grainger County, TN",47057,0.1034
"Grand County, CO",08049,0
"Grand County, UT",49019,0
"Grand Forks County, ND",38035,0.4272
"Grand Isle County, VT",50013,1.8571
"Grand Traverse County, MI",26055,0.3068
"Granite County, MT",30039,0
"Grant County, AR",05053,0.1044
"Grant County, IN",18053,0.0601
"Grant County, KS",20067,0.4423
"Grant County, KY",21081,0.1245
"Grant County, MN",27051,0
"Grant County, ND",38037,0.0901
"Grant County, NE",31075,0
"Grant County, NM",35017,0.2
"Grant County, OK",40053,0
"Grant County, OR",41023,0.1473
"Grant County, SD",46051,0.0445
"Grant County, WA",53025,0.069
"Grant County, WI",55043,0.112
"Grant County, WV",54023,0.3661
"Grant Parish, LA",22043,1.4363
"Granville County, NC",37077,0.1564
"Gratiot County, MI",26057,0.2522
"Graves County, KY",21083,0.2463
"Gray County, KS",20069,0.2319
"Gray County, TX",48179,0.1019
"Grays Harbor County, WA",53027,0.1241
"Grayson County, KY",21085,0.0403
"Grayson County, TX",48181,0.0934
"Grayson County, VA",51077,0.0849
"Greeley County, KS",20071,0
"Greeley County, NE",31077,0
"Green County, KY",21087,0.0875
"Green County, WI",55045,0.1287
"Green Lake County, WI",55047,0.0629
"Greenbrier County, WV",54025,0.1206
"Greene County, AL",01063,0
"Greene County, AR",05055,0.0841
"Greene County, GA",13133,0.1289
"Greene County, IA",19073,0.0842
"Greene County, IL",17061,0
"Greene County, IN",18055,0.2091
"Greene County, MO",29077,0.1698
"Greene County, MS",28041,0.0078
"Greene County, NC",37079,0.3922
"Greene County, NY",36039,0.7287
"Greene County, OH",39057,0.2537
"Greene County, PA",42059,0.1601
"Greene County, TN",47059,0.1508
"Greene County, VA",51079,0.4993
"Greenlee County, AZ",04011,0
"Greensville County, VA",51081,0.3094
"Greenup County, KY",21089,0.0542
"Greenville County, SC",45045,0.482
"Greenwood County, KS",20073,0.3193
"Greenwood County, SC",45047,0.1338
"Greer County, OK",40055,0.1286
"Gregg County, TX",48183,0.2644
"Gregory County, SD",46053,0.2047
"Grenada County, MS",28043,0.1636
"Griggs County, ND",38039,0
"Grimes County, TX",48185,0.5343
"Grundy County, IA",19075,0.06
"Grundy County, IL",17063,0.1404
"Grundy County, MO",29079,0
"Grundy County, TN",47061,0
"Guadalupe County, NM",35019,0
"Guadalupe County, TX",48187,0.1631
"Guayama Municipio, PR",72057,0
"Guayanilla Municipio, PR",72059,0
"Guaynabo Municipio, PR",72061,0.2158
"Guernsey County, OH",39059,0.0192
"Guilford County, NC",37081,0.6704
"Gulf County, FL",12045,0.8192
"Gunnison County, CO",08051,1.1447
"Gurabo Municipio, PR",72063,0
"Guthrie County, IA",19077,0
"Guánica Municipio, PR",72055,0
"Gwinnett County, GA",13135,1.1399
"Haakon County, SD",46055,0
"Habersham County, GA",13137,0.0518
"Haines Borough, AK",02100,0.7073
"Hale County, AL",01065,0.214
"Hale County, TX",48189,0
"Halifax County, NC",37083,0.135
"Halifax County, VA",51083,0.0715
"Hall County, GA",13139,0.573
"Hall County, NE",31079,0.2031
"Hall County, TX",48191,0
"Hamblen County, TN",47063,0.0198
"Hamilton County, FL",12047,2.6368
"Hamilton County, IA",19079,0.0217
"Hamilton County, IL",17065,0
"Hamilton County, IN",18057,0.3124
"Hamilton County, KS",20075,0
"Hamilton County, NE",31081,0.0231
"Hamilton County, NY",36041,0.0929
"Hamilton County, OH",39061,0.5433
"Hamilton County, TN",47065,0.2139
"Hamilton County, TX",48193,0
"Hamlin County, SD",46057,0.0912
"Hampden County, MA",25013,0.7661
"Hampshire County, MA",25015,1.3276
"Hampshire County, WV",54027,0.1628
"Hampton County, SC",45049,0.2877
"Hampton city, VA",51650,0.3055
"Hancock County, GA",13141,0.6085
"Hancock County, IA",19081,0.1485
"Hancock County, IL",17067,0.0783
"Hancock County, IN",18059,0.3053
"Hancock County, KY",21091,0.0981
"Hancock County, ME",23009,1.0822
"Hancock County, MS",28045,0.4127
"Hancock County, OH",39063,0.1359
"Hancock County, TN",47067,0
"Hancock County, WV",54029,0.2025
"Hand County, SD",46059,0.3328
"Hanover County, VA",51085,0.046
"Hansford County, TX",48195,0
"Hanson County, SD",46061,0.7285
"Haralson County, GA",13143,0.1881
"Hardee County, FL",12049,0.0434
"Hardeman County, TN",47069,0.2483
"Hardeman County, TX",48197,0.0542
"Hardin County, IA",19083,0.174
"Hardin County, IL",17069,0
"Hardin County, KY",21093,0.1752
"Hardin County, OH",39065,0.1734
"Hardin County, TN",47071,0.0082
"Hardin County, TX",48199,0.378
"Harding County, NM",35021,0
"Harding County, SD",46063,0.5659
"Hardy County, WV",54031,0.2545
"Harford County, MD",24025,0.4085
"Harlan County, KY",21095,0
"Harlan County, NE",31083,0
"Harmon County, OK",40057,0
"Harnett County, NC",37085,0.1916
"Harney County, OR",41025,0.0436
"Harper County, KS",20077,0
"Harper County, OK",40059,0.0558
"Harris County, GA",13145,0.1335
"Harris County, TX",48201,0.6185
"Harrison County, IA",19085,0.0153
"Harrison County, IN",18061,0.1557
"Harrison County, KY",21097,0.0113
"Harrison County, MO",29081,0.051
"Harrison County, MS",28047,0.4656
"Harrison County, OH",39067,0.0282
"Harrison County, TX",48203,0.0895
"Harrison County, WV",54033,0.0362
"Harrisonburg city, VA",51660,1.361
"Hart County, GA",13147,0.1548
"Hart County, KY",21099,0.0345
"Hartford County, CT",09003,1.068
"Hartley County, TX",48205,0.078
"Harvey County, KS",20079,0.2944
"Haskell County, KS",20081,0
"Haskell County, OK",40061,0
"Haskell County, TX",48207,0.2563
"Hatillo Municipio, PR",72065,0
"Hawaii County, HI",15001,0.607
"Hawkins County, TN",47073,0.108
"Hayes County, NE",31085,0
"Hays County, TX",48209,0.2571
"Haywood County, NC",37087,0.1072
"Haywood County, TN",47075,0.4184
"Heard County, GA",13149,0
"Hemphill County, TX",48211,0
"Hempstead County, AR",05057,0.0199
"Henderson County, IL",17071,0
"Henderson County, KY",21101,0
"Henderson County, NC",37089,0.1626
"Henderson County, TN",47077,0.1511
"Henderson County, TX",48213,0.0142
"Hendricks County, IN",18063,0.3006
"Hendry County, FL",12051,0.1846
"Hennepin County, MN",27053,0.6846
"Henrico County, VA",51087,0.3903
"Henry County, AL",01067,0.1114
"Henry County, GA",13151,0.986
"Henry County, IA",19087,0.1065
"Henry County, IL",17073,0.1274
"Henry County, IN",18065,0.0287
"Henry County, KY",21103,0.0725
"Henry County, MO",29083,0.064
"Henry County, OH",39069,0.0357
"Henry County, TN",47079,0.0131
"Henry County, VA",51089,0.1547
"Herkimer County, NY",36043,0.1465
"Hernando County, FL",12053,0.4547
"Hertford County, NC",37091,0.0656
"Hettinger County, ND",38041,0
"Hickman County, KY",21105,0
"Hickman County, TN",47081,0.0929
"Hickory County, MO",29085,0
"Hidalgo County, NM",35023,0
"Hidalgo County, TX",48215,0.0653
"Highland County, OH",39071,0
"Highland County, VA",51091,0
"Highlands County, FL",12055,0.5813
"Hill County, MT",30041,0.1209
"Hill County, TX",48217,0.0354
"Hillsborough County, FL",12057,1.1291
"Hillsborough County, NH",33011,1.8071
"Hillsdale County, MI",26059,0.1919
"Hinds County, MS",28049,0.119
"Hinsdale County, CO",08053,0
"Hitchcock County, NE",31087,0.0379
"Hocking County, OH",39073,0.1924
"Hockley County, TX",48219,0.1908
"Hodgeman County, KS",20083,0.4723
"Hoke County, NC",37093,0.1161
"Holmes County, FL",12059,0.4231
"Holmes County, MS",28051,0.3573
"Holmes County, OH",39075,0.0294
"Holt County, MO",29087,0
"Holt County, NE",31089,0
"Honolulu County, HI",15003,0.2774
"Hood County, TX",48221,0.0644
"Hood River County, OR",41027,0.1362
"Hooker County, NE",31091,0
"Hoonah-Angoon Census Area, AK",02105,1.4961
"Hopewell city, VA",51670,0.7868
"Hopkins County, KY",21107,0.0451
"Hopkins County, TX",48223,0.0462
"Hormigueros Municipio, PR",72067,0
"Horry County, SC",45051,0.3328
"Hot Spring County, AR",05059,0.1741
"Hot Springs County, WY",56017,0
"Houghton County, MI",26061,0.1264
"Houston County, AL",01069,0.1435
"Houston County, GA",13153,0.6176
"Houston County, MN",27055,0.0057
"Houston County, TN",47083,0.0908
"Houston County, TX",48225,0.0275
"Howard County, AR",05061,0.0734
"Howard County, IA",19089,0.0472
"Howard County, IN",18067,0.0584
"Howard County, MD",24027,1.2405
"Howard County, MO",29089,0
"Howard County, NE",31093,0.0659
"Howard County, TX",48227,0.1837
"Howell County, MO",29091,0
"Hubbard County, MN",27057,0.0946
"Hudson County, NJ",34017,1.1651
"Hudspeth County, TX",48229,0.1696
"Huerfano County, CO",08055,0
"Hughes County, OK",40063,0
"Hughes County, SD",46065,0.091
"Humacao Municipio, PR",72069,0
"Humboldt County, CA",06023,0.2376
"Humboldt County, IA",19091,0
"Humboldt County, NV",32013,0.5609
"Humphreys County, MS",28053,0
"Humphreys County, TN",47085,0.0568
"Hunt County, TX",48231,0.1487
"Hunterdon County, NJ",34019,0.366
"Huntingdon County, PA",42061,0.3315
"Huntington County, IN",18069,0.4409
"Huron County, MI",26063,0.0546
"Huron County, OH",39077,0.022
"Hutchinson County, SD",46067,0
"Hutchinson County, TX",48233,0
"Hyde County, NC",37095,0
"Hyde County, SD",46069,0
"Iberia Parish, LA",22045,3.1657
"Iberville Parish, LA",22047,1.9714
"Ida County, IA",19093,0
"Idaho County, ID",16049,0.4586
"Imperial County, CA",06025,0.073
"Independence County, AR",05063,0.4105
"Indian River County, FL",12061,1.1242
"Indiana County, PA",42063,0.1531
"Ingham County, MI",26065,0.4748
"Inyo County, CA",06027,0.214
"Ionia County, MI",26067,0.1135
"Iosco County, MI",26069,0.3215
"Iowa County, IA",19095,0
"Iowa County, WI",55049,0.1126
"Iredell County, NC",37097,0.2086
"Irion County, TX",48235,0
"Iron County, MI",26071,0.1135
"Iron County, MO",29093,0.3429
"Iron County, UT",49021,0.0781
"Iron County, WI",55051,0.0368
"Iroquois County, IL",17075,0.1086
"Irwin County, GA",13155,0.0112
"Isabela Municipio, PR",72071,0.0384
"Isabella County, MI",26073,0.0534
"Isanti County, MN",27059,0.1197
"Island County, WA",53029,0.6837
"Isle of Wight County, VA",51093,0.2426
"Issaquena County, MS",28055,0
"Itasca County, MN",27061,0.2087
"Itawamba County, MS",28057,0.373
"Izard County, AR",05065,0.8663
"Jack County, TX",48237,0
"Jackson County, AL",01071,0.0989
"Jackson County, AR",05067,0.2265
"Jackson County, CO",08057,0
"Jackson County, FL",12063,0.7972
"Jackson County, GA",13157,0.4647
"Jackson County, IA",19097,0
"Jackson County, IL",17077,0.5197
"Jackson County, IN",18071,0
"Jackson County, KS",20085,0.5028
"Jackson County, KY",21109,0
"Jackson County, MI",26075,0.1544
"Jackson County, MN",27063,0.8932
"Jackson County, MO",29095,0.4902
"Jackson County, MS",28059,0.0967
"Jackson County, NC",37099,0.179
"Jackson County, OH",39079,0.0497
"Jackson County, OK",40065,0.2028
"Jackson County, OR",41029,0.1664
"Jackson County, SD",46071,0.1029
"Jackson County, TN",47087,0
"Jackson County, TX",48239,0.0712
"Jackson County, WI",55053,0.0415
"Jackson County, WV",54035,0.1688
"Jackson Parish, LA",22049,0.4298
"James City County, VA",51095,0.6949
"Jasper County, GA",13159,0.0301
"Jasper County, IA",19099,0.4767
"Jasper County, IL",17079,0
"Jasper County, IN",18073,0
"Jasper County, MO",29097,0.1561
"Jasper County, MS",28061,0
"Jasper County, SC",45053,0.2121
"Jasper County, TX",48241,0.5831
"Jay County, IN",18075,0.7752
"Jayuya Municipio, PR",72073,0
"Jeff Davis County, GA",13161,0.0786
"Jeff Davis County, TX",48243,0
"Jefferson County, AL",01073,0.1965
"Jefferson County, AR",05069,0.359
"Jefferson County, CO",08059,0.4103
"Jefferson County, FL",12065,0.4502
"Jefferson County, GA",13163,0.2164
"Jefferson County, IA",19101,0.0909
"Jefferson County, ID",16051,0.0446
"Jefferson County, IL",17081,0.4705
"Jefferson County, IN",18077,0.1072
"Jefferson County, KS",20087,0.1006
"Jefferson County, KY",21111,0.4495
"Jefferson County, MO",29099,0.0556
"Jefferson County, MS",28063,0.516
"Jefferson County, MT",30043,0.3268
"Jefferson County, NE",31095,0
"Jefferson County, NY",36045,0.4917
"Jefferson County, OH",39081,0.2441
"Jefferson County, OK",40067,0.0351
"Jefferson County, OR",41031,0.2621
"Jefferson County, PA",42065,0.0122
"Jefferson County, TN",47089,0.3001
"Jefferson County, TX",48245,0.4121
"Jefferson County, WA",53031,0.5112
"Jefferson County, WI",55055,0.0792
"Jefferson County, WV",54037,0.4885
"Jefferson Davis County, MS",28065,0.3468
"Jefferson Davis Parish, LA",22053,4.4091
"Jefferson Parish, LA",22051,0.9892
"Jenkins County, GA",13165,0.3876
"Jennings County, IN",18079,0
"Jerauld County, SD",46073,0
"Jerome County, ID",16053,0.1211
"Jersey County, IL",17083,0.1361
"Jessamine County, KY",21113,0.1627
"Jewell County, KS",20089,0
"Jim Hogg County, TX",48247,0
"Jim Wells County, TX",48249,0.0661
"Jo Daviess County, IL",17085,0
"Johnson County, AR",05071,0.0919
"Johnson County, GA",13167,0
"Johnson County, IA",19103,1.8639
"Johnson County, IL",17087,0.0849
"Johnson County, IN",18081,0.1905
"Johnson County, KS",20091,0.2525
"Johnson County, KY",21115,0.0764
"Johnson County, MO",29101,0.2241
"Johnson County, NE",31097,0
"Johnson County, TN",47091,0.0708
"Johnson County, TX",48251,0.0707
"Johnson County, WY",56019,0.7757
"Johnston County, NC",37101,0.386
"Johnston County, OK",40069,0.0288
"Jones County, GA",13169,0
"Jones County, IA",19105,0.0972
"Jones County, MS",28067,0.0424
"Jones County, NC",37103,0.1919
"Jones County, SD",46075,0
"Jones County, TX",48253,0.0525
"Josephine County, OR",41033,0.0732
"Juab County, UT",49023,0
"Juana Díaz Municipio, PR",72075,0
"Judith Basin County, MT",30045,0
"Juncos Municipio, PR",72077,0
"Juneau City and Borough, AK",02110,0.2775
"Juneau County, WI",55057,0.0358
"Juniata County, PA",42067,0.0609
"Kalamazoo County, MI",26077,0.7351
"Kalawao County, HI",15005,0
"Kalkaska County, MI",26079,0.0296
"Kanabec County, MN",27065,0
"Kanawha County, WV",54039,0.1661
"Kandiyohi County, MN",27067,0.3499
"Kane County, IL",17089,0.1006
"Kane County, UT",49025,0
"Kankakee County, IL",17091,0.6803
"Karnes County, TX",48255,0.2883
"Kauai County, HI",15007,0.2549
"Kaufman County, TX",48257,0.3105
"Kay County, OK",40071,0.0219
"Kearney County, NE",31099,0
"Kearny County, KS",20093,0
"Keith County, NE",31101,0.0391
"Kemper County, MS",28069,0
"Kenai Peninsula Borough, AK",02122,0.2359
"Kendall County, IL",17093,0.8233
"Kendall County, TX",48259,0.1213
"Kenedy County, TX",48261,0
"Kennebec County, ME",23011,1.4609
"Kenosha County, WI",55059,0.1612
"Kent County, DE",10001,1.4892
"Kent County, MD",24029,0.4948
"Kent County, MI",26081,0.2939
"Kent County, RI",44003,0.7247
"Kent County, TX",48263,0
"Kenton County, KY",21117,0.4795
"Keokuk County, IA",19107,0.1051
"Kern County, CA",06029,0.1098
"Kerr County, TX",48265,0.1443
"Kershaw County, SC",45055,0.1131
"Ketchikan Gateway Borough, AK",02130,0.0458
"Kewaunee County, WI",55061,0.1395
"Keweenaw County, MI",26083,0
"Keya Paha County, NE",31103,0
"Kidder County, ND",38043,0
"Kimball County, NE",31105,0
"Kimble County, TX",48267,0.1496
"King County, TX",48269,0
"King County, WA",53033,0.6434
"King George County, VA",51099,0.0868
"King William County, VA",51101,0.7484
"King and Queen County, VA",51097,0
"Kingfisher County, OK",40073,0
"Kingman County, KS",20095,0.2512
"Kings County, CA",06031,0.1261
"Kings County, NY",36047,3.4762
"Kingsbury County, SD",46077,0
"Kinney County, TX",48271,0
"Kiowa County, CO",08061,0.5596
"Kiowa County, KS",20097,0.0861
"Kiowa County, OK",40075,0.1847
"Kit Carson County, CO",08063,0.1171
"Kitsap County, WA",53035,0.2426
"Kittitas County, WA",53037,0.2308
"Kittson County, MN",27069,0.2525
"Klamath County, OR",41035,0.4037
"Kleberg County, TX",48273,0
"Klickitat County, WA",53039,0.0712
"Knott County, KY",21119,0
"Knox County, IL",17095,0.6702
"Knox County, IN",18083,0.3307
"Knox County, KY",21121,0.0103
"Knox County, ME",23013,0.6229
"Knox County, MO",29103,0.0547
"Knox County, NE",31107,0.2943
"Knox County, OH",39083,0.3736
"Knox County, TN",47093,0.2407
"Knox County, TX",48275,0.618
"Kodiak Island Borough, AK",02150,0.2108
"Koochiching County, MN",27071,0.0679
"Kootenai County, ID",16055,0.2935
"Kosciusko County, IN",18085,0.1208
"Kossuth County, IA",19109,0.0787
"Kusilvak Census Area, AK",02158,0
"La Crosse County, WI",55063,0.3562
"La Paz County, AZ",04012,0
"La Plata County, CO",08067,0.6876
"La Salle County, TX",48283,0
"LaGrange County, IN",18087,0.0166
"LaMoure County, ND",38045,0
"LaPorte County, IN",18091,0.0969
"LaSalle County, IL",17099,0.0782
"LaSalle Parish, LA",22059,0.4337
"Labette County, KS",20099,0.1965
"Lac qui Parle County, MN",27073,0.0159
"Lackawanna County, PA",42069,0.2417
"Laclede County, MO",29105,0.1118
"Lafayette County, AR",05073,0
"Lafayette County, FL",12067,0.6339
"Lafayette County, MO",29107,0.013
